REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,PRIZ_P,C2_5
2756,91,33479064,1020900001968,2756,049133845,1/1/2016,"??? ??? ""????????""","369000,  ?????????-?????????? ??????????, ?. ????????, ??. ??????????, 99",1,23
2758,40,34336540,1027800001240,2758,044030845,1/1/2016,"???? ""????? ??????"" (??)","197374, ?????-?????????, ??.?????????, ?.126, ????? ?, ????? ?1 ????????? ?71-?",1,31
2763,45,29293553,1027739543182,2763,044583267,1/1/2016,"??? ""??????????????"" (???)","115054, ?. ??????, ??. ???????????, ?. 45",1,23
2764,45,29293916,1027739282581,2764,044525166,1/1/2016,"??? ""?????-????""","127473,  ?. ??????, 1-? ?????????? ???., ?. 10",1,31
2766,45,29293885,1027739176563,2766,044525311,1/1/2016,"?? ""??? ????""","125171, ?. ??????, ????????????? ?????, ?. 16 ?, ???.1",1,31
2767,45,29295677,1027700067394,2767,044525857,1/1/2016,"??? ?? ""???????????""","123056,  ?. ??????, ??. ?????????????, ??? 26, ???????? 2",1,27
2768,45,29294100,1027739267390,2768,044525907,1/1/2016,"??? ""???"" (??)","127055,  ?. ??????, ??.?????????, ?.16, ???.3",1,23
2769,45,29294643,1027700427864,2769,044525580,1/1/2016,"??? ?? ""????????????""","123001, ?. ??????, ????????? ???., ??? 18, ???????? 1",1,23
2771,45,29296174,1027739930998,2771,044525230,1/1/2016,"?? ""????????? ????"" (???)","127473,  ?. ??????, ??????????? ??., ?. 1",1,31
2772,03,32350782,1022300001811,2772,040349966,1/1/2016,"??? ""??-??????????""","350000, ?. ?????????, ??. ???????, 113",1,23
2776,45,29294134,1027739408290,2776,044599244,1/1/2016,"??? ""???"" ????","111250, ?. ??????, ??. ?????????????????, ?. 10",1,31
2789,45,29418720,1027739094250,2789,044525490,1/1/2016,?? ?? ???? ???,"117485, ?. ??????, ??. ????????, ??? 30/1, ???????? 2",1,23
2790,45,29296990,1027739109133,2790-?,044525192,1/1/2016,?? ????????????,"123610,  ?. ??????, ????????????????? ??????????, ??? 12",1,27
2796,61,34461327,1026200000386,2796,046126701,1/1/2016,"???? ""?????"" (???)","390046, ?. ??????, ??.??????????, ?.110",1,23
2798,45,29058032,1127711000010,2798,044525137,1/1/2016,???? ????????????? ???? (??),"125252, ?. ??????, ??. ???????, ?. 13, ????. 1",1,27
2799,45,29054301,1037739001046,2799,044583604,1/1/2016,"?? ""???? ?????""","127006,  ?. ??????, ????????????? ????????, ??? 7, ???????? 2",1,31
2801,45,29295418,1027739199355,2801,044525563,1/1/2016,"??? ""?????????"" (???)","119435, ?. ??????, ??????? ?????????? ????????, ??? 12, ???????? 11",1,31
2802,88,34003547,1021200004748,2802,048860889,1/1/2016,"???? ""??????-???"" (???)","424006, ?????????? ????? ??, ?.??????-???, ??. ?????????, ?.39 ?",1,23
2803,45,29295750,1037744002251,2803,044525152,1/1/2016,"??? ""?????????????"" (???)","109028,  ?. ??????, ??????????????? ????????, ??? 3, ???????? 1",1,31
2807,45,17667493,1027739582089,2807,044525326,1/1/2016,"??? ""??????????????"" (??)","115093,  ?. ??????, ??. ???????????, ?. 94.",1,23
2813,45,34120514,1026100002092,2813,044583744,1/1/2016,"?? ?? ""??????""","127055, ?. ??????, ??. ??????????, ?. 20",1,31
2816,19,34236369,1023500000160,2816,041909786,1/1/2016,"??? ""???? ???""","160001 ?.???????, ??. ?????????????? ?. 3",1,23
2827,45,29296665,1067711004360,2827,044525384,1/1/2016,"?? ""??????? ????????? ?????""","127299,  ?. ??????, ??.?????????? ???????, ?.14",1,31
2829,45,29297268,1037711002581,2829,044583361,1/1/2016,"?? ""?????????""","123056,  ?. ??????, ??.??????, ?.9, ???.1, ????. 4",1,23
2830,45,29296783,1027739247227,2830,044525901,1/1/2016,"?? ?? ""???????????""","119002,  ?. ??????, ????? ?????, ??? 43, ???????? 3",1,27
2837,46,29060388,1027739554743,2837,044525113,1/1/2016,"??? ?? ""??????????????""","143026, ?????????? ???????, ??????????? ?????, ??????? ??????? ??????????????, ????????? ?????, ???????? 165",1,31
2838,45,29296820,1027739563610,2838,044583320,1/1/2016,"??? ?? ""?????-????""","107045,  ?. ??????, ????????? ????????, ?.11, ???.1",1,23
2842,45,29055884,1037739314348,2842,044525280,1/1/2016,"?? ""????"" (???)","119021,  ?. ??????, ??. ?????? ??????, ?. 11, ???????? 60 ?",1,27
2846,45,29061028,1027739919954,2846,044525494,1/1/2016,"?? ""???????"" ???","125009, ?. ??????, ?????? ?????????? ????????,  ?. 7, ???. 2",1,27
2849,45,29297570,1027700546895,2849,044525246,1/1/2016,"??? ""???????????????"" (???)","117105,  ?. ??????, ??????????????? ???., ?. 4?",1,27
2851,91,32708982,1021500000103,2851,049133849,1/1/2016,?2 ???? (??),"369000, ?????????-?????????? ??????????, ?. ????????, ??. ??????????????, ?. 2-?",1,23
2853,45,17668185,1027739199927,2853,044525683,1/1/2016,"??? ?? ""????????? ??????""","105005,  ?. ??????, ??. ??????????, ?. 54, ???. 1",1,31
2856,45,29298144,1027739371956,2856,044525861,1/1/2016,"??? ?? ""????????""","109012  ?. ??????, ???????????? ????????, ???. 4, ???????? 1,2",1,27
2859,45,40002380,1027739175056,2859,044583994,1/1/2016,"?? ""???????? ??????"" (???)","121170,  ?. ??????, ??. ????????, ?. 3, ???. 1",1,23
2860,63,26902728,1026400001770,2860,046311772,1/1/2016,"??? ""???? ""???????""","410017, ?.???????, ??.?????????????, 90",1,27
2863,45,29298210,1027744003100,2863,044525286,1/1/2016,"??? ?? ""????""","105062,  ?. ??????, ???????????? ????????, ?. 23, ???. 2",1,27
2867,45,29303313,1027739066354,2867,044525624,1/1/2016,"?? ""??????""","117420, ?. ??????, ??. ?????????, ?. 13 ?",1,27
2868,32,34781256,1024200001847,2868,043207793,1/1/2016,"??? ""??????????????"" (???)","650024, ??????????? ???????, ?.????????, ??. ???? ???????????, 12",1,23
2873,01,33992867,1022200528415,2873,040147781,1/1/2016,"??? ""???????? ????????-???????????? ????""","659322, ????????? ????, ?.?????, ??.????????????????, 1",1,23
2876,36,25293055,1027300000012,2876,043602842,1/1/2016,"??? ""???""","443010, ?. ??????, ????????? ?????, ??. ??????/??. ????????????, ?. 102/?.36",1,31
2877,45,29303075,1027739246490,2877,044525499,1/1/2016,"??? ?? ""?????????""","117292,  ?. ??????, ??. ????? ?????????, ??? 16",1,27
2879,45,29304028,1027700367507,2879,044525201,1/1/2016,"??? ??? ""????????""","115035,  ?. ??????, ??. ?????????????, ?.12, ???. 1",1,31
2880,46,34922679,1095000004252,2880,044525710,1/1/2016,"?? ?? ""??????????????""","140083, ?????????? ???????, ?. ?????????, 5-? ??????????, ??????? 2, ?. 13",1,31
2881,45,29351281,1037739058609,2881,044525409,1/1/2016,"""??????-????"" (???)","125190,  ?. ??????, ????????????? ????????, ?. 80, ?????? 16",1,31
2883,32,34777119,1024200002276,2883,043209706,1/1/2016,"""???-????"" ??","654041, ??????????? ???????, ?.???????????, ??.????????,31",1,27
2884,63,26896910,1026400001781,2884,046311766,1/1/2016,"?? ?? ""????????""","410028, ?.???????, ??.???????, 27",1,23
2888,45,33863779,1051664003511,2888,044525937,1/1/2016,"?? ""???? ????""","109240, ?. ??????, ??. ??????????? ???????, ??? 13, ???????? 3",1,31
2896,90,32708338,1021500000147,2896,049033746,1/1/2016,"??? ??? ""1????""","362040, ?????????? ???????? ??????-??????, ?.???????????, ??. ??????????????, 10",1,29
2897,45,40008023,1027739915796,2897,044525132,1/1/2016,"??? ?? ""????????????? ?????????????? ????""","127273,  ?. ??????, ???????????? ?????, ?.2?",1,23
2898,03,34995856,1022300000062,2898,040349745,1/1/2016,"?? ""????????? ????????????? ????"" (???)","350063, ?. ?????????, ??. ???????, 36",1,31
2900,36,21301875,1156300000141,2900,043606811,1/1/2016,"??? ""??????? ????""","446001, ????????? ???., ?.???????, ??.???????????, 79",1,23
2905,45,29299675,1027739881223,2905,044525196,1/1/2016,"""???? ???????????"" ???","121099,  ?. ??????, ???. ??????????????? 1-?, ?.6. ???. 1",1,31
2914,45,29351424,1027739554930,2914,044583551,1/1/2016,"??? ?? ""????????""","123317,  ?. ??????, ??. ??????????, ?. 10",1,23
